donor,cell_size,total_intensity,class
1,475.0,22216.0,activated
1,182.0,4957.0,activated
1,528.0,36043.0,activated
1,197.0,10254.0,activated
1,407.0,14082.0,activated
1,138.0,4287.0,activated
1,250.0,5886.0,activated
1,139.0,10941.0,activated
1,276.0,6464.0,activated
1,348.0,27474.0,activated
1,395.0,15061.0,activated
1,405.0,30135.0,activated
1,129.0,8076.0,activated
1,570.0,31719.0,activated
1,492.0,39055.0,activated
1,286.0,6979.0,activated
1,272.0,24846.0,activated
1,378.0,37542.0,activated
1,392.0,22726.0,activated
1,998.0,117507.0,activated
1,706.0,46184.0,activated
1,224.0,8773.0,activated
1,162.0,4227.0,quiescent
1,162.0,5773.0,quiescent
1,168.0,3738.0,quiescent
1,179.0,4658.0,quiescent
1,192.0,7329.0,quiescent
1,172.0,6848.0,quiescent
1,239.0,13107.0,quiescent
1,171.0,10702.0,quiescent
1,196.0,6889.0,quiescent
1,217.0,6379.0,quiescent
1,305.0,17645.0,quiescent
1,180.0,4243.0,quiescent
1,187.0,13057.0,quiescent
1,162.0,7681.0,quiescent
1,251.0,8814.0,quiescent
1,155.0,6866.0,quiescent
1,170.0,4332.0,quiescent
1,220.0,15906.0,quiescent
1,296.0,23931.0,quiescent
1,155.0,5914.0,quiescent
1,180.0,6951.0,quiescent
1,180.0,11922.0,quiescent
1,175.0,9403.0,quiescent
1,202.0,7951.0,quiescent
1,180.0,4087.0,quiescent
1,244.0,8373.0,quiescent
1,183.0,5348.0,quiescent
1,223.0,10038.0,quiescent
1,189.0,10125.0,quiescent
1,181.0,5294.0,quiescent
1,194.0,9588.0,quiescent
1,227.0,8348.0,quiescent
1,359.0,24811.0,quiescent
1,184.0,8614.0,quiescent
1,197.0,9259.0,quiescent
1,170.0,4901.0,quiescent
1,192.0,6394.0,quiescent
1,184.0,7619.0,quiescent
1,198.0,8240.0,quiescent
1,205.0,8099.0,quiescent
1,215.0,8378.0,quiescent
1,186.0,10680.0,quiescent
1,249.0,9652.0,quiescent
1,165.0,6562.0,quiescent
1,191.0,6673.0,quiescent
1,212.0,12093.0,quiescent
1,166.0,6158.0,quiescent
1,393.0,29459.0,quiescent
1,188.0,4295.0,quiescent
1,153.0,4639.0,quiescent
1,166.0,3460.0,quiescent
1,176.0,6327.0,quiescent
1,297.0,17733.0,quiescent
1,195.0,9293.0,quiescent
1,296.0,20000.0,quiescent
1,175.0,4911.0,quiescent
1,186.0,5961.0,quiescent
1,197.0,7573.0,quiescent
1,233.0,9965.0,quiescent
1,45.0,1708.0,quiescent
1,576.0,49785.0,quiescent
1,222.0,6043.0,quiescent
1,198.0,10242.0,quiescent
1,295.0,15266.0,quiescent
1,177.0,14383.0,quiescent
1,159.0,9382.0,quiescent
1,242.0,8123.0,quiescent
1,212.0,11270.0,quiescent
1,214.0,11226.0,quiescent
1,409.0,15940.0,quiescent
1,219.0,8074.0,quiescent
1,170.0,7151.0,quiescent
1,194.0,6668.0,quiescent
1,73.0,4394.0,quiescent
1,170.0,7706.0,quiescent
1,69.0,2315.0,quiescent
1,229.0,7444.0,quiescent
1,98.0,6112.0,quiescent
1,167.0,6160.0,quiescent
1,97.0,1641.0,quiescent
1,272.0,12288.0,quiescent
1,377.0,14018.0,quiescent
1,153.0,3805.0,quiescent
1,232.0,8639.0,quiescent
1,115.0,7837.0,quiescent
1,172.0,4750.0,quiescent
1,201.0,11333.0,quiescent
1,188.0,11430.0,quiescent
1,146.0,6335.0,quiescent
1,182.0,7531.0,quiescent
1,427.0,35167.0,quiescent
1,181.0,6673.0,quiescent
1,159.0,6400.0,quiescent
1,191.0,4880.0,quiescent
1,257.0,19188.0,quiescent
1,163.0,9793.0,quiescent
1,235.0,9703.0,quiescent
1,168.0,4856.0,quiescent
1,227.0,17613.0,quiescent
1,187.0,5421.0,quiescent
1,202.0,9019.0,quiescent
1,191.0,3479.0,quiescent
1,161.0,3947.0,quiescent
1,244.0,20646.0,quiescent
1,170.0,3514.0,quiescent
1,168.0,14109.0,quiescent
1,191.0,8516.0,quiescent
1,187.0,4835.0,quiescent
1,231.0,9415.0,quiescent
1,196.0,4738.0,quiescent
1,91.0,10737.0,quiescent
1,247.0,11796.0,quiescent
1,517.0,18986.0,quiescent
1,132.0,3998.0,quiescent
1,163.0,4680.0,quiescent
1,177.0,3427.0,quiescent
1,258.0,7830.0,quiescent
1,121.0,10705.0,quiescent
1,368.0,9143.0,quiescent
1,169.0,7449.0,quiescent
1,158.0,4974.0,quiescent
1,199.0,15160.0,quiescent
1,210.0,13196.0,quiescent
1,289.0,18002.0,quiescent
1,378.0,27799.0,quiescent
1,193.0,10577.0,quiescent
1,681.0,67671.0,quiescent
1,190.0,8343.0,quiescent
1,653.0,50800.0,quiescent
1,248.0,22541.0,quiescent
1,222.0,8044.0,quiescent
1,180.0,6437.0,quiescent
1,405.0,10876.0,quiescent
1,168.0,5108.0,quiescent
1,237.0,9498.0,quiescent
1,172.0,8254.0,quiescent
1,202.0,7300.0,quiescent
1,195.0,8427.0,quiescent
1,231.0,8424.0,quiescent
1,193.0,6880.0,quiescent
1,231.0,11037.0,quiescent
1,214.0,13166.0,quiescent
1,212.0,12538.0,quiescent
1,413.0,24895.0,quiescent
1,261.0,9064.0,quiescent
1,170.0,6816.0,quiescent
1,154.0,5499.0,quiescent
1,196.0,9064.0,quiescent
1,187.0,6067.0,quiescent
1,212.0,9093.0,quiescent
1,187.0,7677.0,quiescent
1,171.0,9638.0,quiescent
1,138.0,3730.0,quiescent
1,173.0,5209.0,quiescent
1,146.0,4540.0,quiescent
1,198.0,7599.0,quiescent
1,199.0,8871.0,quiescent
1,238.0,18188.0,quiescent
1,407.0,27198.0,quiescent
1,190.0,7499.0,quiescent
1,213.0,13413.0,quiescent
1,181.0,4266.0,quiescent
1,179.0,5180.0,quiescent
2,500.0,82237.0,activated
2,526.0,34783.0,activated
2,257.0,18016.0,activated
2,296.0,26171.0,activated
2,65.0,9196.0,activated
2,146.0,16460.0,activated
2,78.0,9175.0,activated
2,65.0,6203.0,activated
2,217.0,29987.0,activated
2,474.0,42976.0,activated
2,415.0,77000.0,activated
2,175.0,7166.0,activated
2,215.0,41470.0,activated
2,434.0,45347.0,activated
2,213.0,45939.0,activated
2,164.0,18229.0,activated
2,129.0,5144.0,activated
2,361.0,43707.0,activated
2,270.0,36075.0,activated
2,148.0,17019.0,activated
2,67.0,8644.0,activated
2,102.0,14144.0,activated
2,187.0,13189.0,activated
2,94.0,9928.0,activated
2,86.0,9565.0,activated
2,68.0,6416.0,activated
2,398.0,50045.0,activated
2,74.0,8575.0,activated
2,169.0,23172.0,activated
2,30.0,4932.0,activated
2,214.0,23300.0,activated
2,152.0,15158.0,activated
2,104.0,10367.0,activated
2,142.0,10219.0,activated
2,138.0,12799.0,activated
2,339.0,39553.0,activated
2,187.0,23268.0,activated
2,67.0,5191.0,activated
2,368.0,22004.0,activated
2,129.0,12851.0,activated
2,67.0,5958.0,activated
2,423.0,36995.0,activated
2,285.0,44453.0,activated
2,78.0,9488.0,activated
2,354.0,24261.0,activated
2,256.0,35329.0,activated
2,187.0,17164.0,activated
2,759.0,75084.0,activated
2,76.0,17078.0,activated
2,565.0,82121.0,activated
2,138.0,14537.0,activated
2,362.0,36553.0,activated
2,637.0,127475.0,activated
2,534.0,54758.0,activated
2,490.0,29374.0,activated
2,171.0,19718.0,activated
2,328.0,57090.0,activated
2,444.0,39646.0,activated
2,104.0,17353.0,activated
2,87.0,8652.0,activated
2,111.0,17517.0,activated
2,319.0,23963.0,activated
2,294.0,30286.0,activated
2,358.0,11817.0,activated
2,85.0,11417.0,activated
2,208.0,14780.0,quiescent
2,183.0,6887.0,quiescent
2,427.0,20471.0,quiescent
2,291.0,11478.0,quiescent
2,335.0,11441.0,quiescent
2,178.0,8534.0,quiescent
2,225.0,10794.0,quiescent
2,213.0,10349.0,quiescent
2,230.0,8056.0,quiescent
2,250.0,13456.0,quiescent
2,257.0,15986.0,quiescent
2,86.0,10691.0,quiescent
2,203.0,12523.0,quiescent
2,449.0,14204.0,quiescent
2,410.0,11752.0,quiescent
3,1026.0,54095.0,activated
3,228.0,13087.0,activated
3,927.0,74702.0,activated
3,333.0,16862.0,activated
3,287.0,26465.0,activated
3,1038.0,30017.0,activated
