price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,classes
379500.0,2.0,1.0,1640,17335,1.0,0,0,3,840,800,1978,0,3301-3389 289th Ave NE,Redmond,WA 98053,high
408900.0,3.0,1.75,2930,19876,1.0,0,0,3,2030,900,1993,0,12542 NE 160th Pl,Woodinville,WA 98072,high
880000.0,6.0,2.5,2640,3680,2.0,0,0,5,1760,880,1922,1956,3008 38th Ave SW,Seattle,WA 98126,high
554729.0,4.0,2.5,2020,4350,2.0,0,0,5,1730,290,1943,0,4109 W Bertona St,Seattle,WA 98199,high
820000.0,4.0,2.5,3170,8523,2.0,0,0,3,3170,0,2008,0,9401 117th Ave NE,Kirkland,WA 98033,high
395000.0,3.0,1.75,1480,7700,1.0,0,0,3,1480,0,1975,0,13547 104th Pl NE,Kirkland,WA 98034,high
620000.0,4.0,3.0,2130,6325,1.0,0,0,5,1440,690,1948,1985,4002 50th Ave SW,Seattle,WA 98116,high
284000.0,4.0,2.5,2000,5390,2.0,0,0,3,2000,0,2003,0,25434 160th Ave SE,Kent,WA 98042,low
404000.0,3.0,1.5,2030,8880,1.0,0,0,3,1330,700,1963,2008,4915 17th Ave S,Seattle,WA 98108,high
384950.0,3.0,2.5,1860,3690,2.0,0,0,3,1860,0,2000,0,7556 NE 203rd St,Kenmore,WA 98028,high
1710000.0,5.0,4.5,4590,14685,2.0,0,0,3,4590,0,2009,0,6402-6412 105th Ave NE,Kirkland,WA 98033,high
950100.0,4.0,2.5,3160,13194,2.0,0,0,5,3160,0,1965,0,6135 79th Ave SE,Mercer Island,WA 98040,high
745641.0,4.0,2.5,2440,4850,2.0,0,0,3,2440,0,2013,1923,11631 170th Ct NE,Redmond,WA 98052,high
470000.0,4.0,2.5,2310,14023,2.0,0,0,3,2310,0,1991,0,14923 280th Pl NE,Duvall,WA 98019,high
386000.0,3.0,1.5,1270,1318,2.0,0,0,3,1080,190,2004,2003,3613 Gilman Ave W,Seattle,WA 98199,high
580379.0,4.0,2.75,2240,27820,1.5,0,0,4,2240,0,1976,1992,21404 SE 19th St,Sammamish,WA 98075,high
268000.0,3.0,2.5,1650,6684,2.0,0,0,3,1650,0,1991,0,11813 SE 219th Pl,Kent,WA 98031,low
224000.0,3.0,1.75,1500,11968,1.0,0,0,3,1500,0,2014,0,32428-32598 5th Ave,Black Diamond,WA 98010,low
623000.0,3.0,2.5,1850,7777,2.0,0,0,5,1850,0,1989,0,12833 NE 101st Pl,Kirkland,WA 98033,high
1042031.0,4.0,5.0,4110,43560,2.0,0,0,4,4110,0,1978,2000,2808 120th Ave NE,Bellevue,WA 98005,high
366500.0,4.0,2.75,2070,9300,1.0,0,0,5,1120,950,1945,0,15511 9th Ave NE,Shoreline,WA 98155,high
427000.0,2.0,1.0,920,3780,1.0,0,0,3,920,0,1910,2006,807 N 42nd St,Seattle,WA 98103,high
390000.0,4.0,2.5,2340,8548,2.0,0,0,3,2340,0,1993,0,11824 SE 203rd St,Kent,WA 98031,high
536000.0,4.0,2.25,1990,5948,2.0,0,0,3,1990,0,1991,0,4002 258th Way SE,Issaquah,WA 98029,high
261350.0,3.0,1.75,1390,18200,1.0,0,0,4,1390,0,1962,0,157 SW 313th St,Federal Way,WA 98023,low
750000.0,4.0,2.75,2600,4674,1.0,0,0,3,1560,1040,1976,0,6820 39th Ave NE,Seattle,WA 98115,high
457500.0,3.0,2.25,1430,2003,2.0,0,0,3,980,450,1996,0,1362 31st Ave S,Seattle,WA 98144,high
175000.0,3.0,1.0,1010,7034,1.0,0,0,3,1010,0,1954,2005,207 NW 5th St,Renton,WA 98057,low
